Date,vader_score,date,NIFTY_50_Close,SMA_20,RSI
2017-04-22,0.5207,22-04-2017,9127.900391,9164.54506845,35.43342142040285
2017-04-23,0.0,23-04-2017,9119.400391,9166.716333100001,29.67800262955889
2017-04-24,0.0,24-04-2017,9217.950195,9175.353833099998,45.15366377401337
2017-04-26,-0.204133333,26-04-2017,9351.849609,9185.7563233,64.64610331677983
2017-04-27,0.511066667,27-04-2017,9342.150391,9194.17634285,61.15625809958679
2017-04-28,0.1191,28-04-2017,9304.049805,9201.440088,56.286314435409665
2017-04-29,0.0,29-04-2017,9323.100098,9205.70261245,61.5314028418694
2017-05-02,0.0,02-05-2017,9313.799805,9208.135083149999,67.14164827956719
2017-05-03,0.28595,03-05-2017,9311.950195,9210.63508315,64.94820243859878
2017-05-04,-0.4767,04-05-2017,9359.900391,9218.71511245,73.92114211504074
2017-05-05,0.1779,05-05-2017,9285.299805,9221.473852699999,67.95923966877608
2017-05-06,-0.8442,06-05-2017,9322.600098,9225.753857599999,70.39276052001455
2017-05-08,0.04628,08-05-2017,9314.049805,9231.2838381,67.31980218503645
2017-05-10,0.0,10-05-2017,9407.299805,9244.108838099999,74.43550565403785
2017-05-11,0.3818,11-05-2017,9422.400391,9256.372607649999,74.71876956454935
2017-05-12,0.0,12-05-2017,9400.900391,9269.45263695,73.12300459970197
2017-05-16,0.0,16-05-2017,9512.25,9289.8076174,73.67653599038508
2017-05-17,-0.16812,17-05-2017,9525.75,9310.9201174,67.35181087431563
2017-05-18,0.0,18-05-2017,9429.450195,9325.5726076,57.42721495914218
2017-05-19,0.39225,19-05-2017,9427.900391,9340.997607599998,61.23562356829698
2017-05-23,-0.100475,23-05-2017,9386.150391,9353.910107599999,55.493611125499626
2017-05-25,-0.5423,25-05-2017,9509.75,9373.427588049999,64.23745430960594
2017-05-26,0.0,26-05-2017,9595.099609,9392.28505875,68.34700128901646
2017-05-27,0.4754,27-05-2017,9552.424805,9402.313818550001,62.56071861049942
2017-05-30,0.0,30-05-2017,9624.549805,9416.43378925,72.2051486537863
2017-05-31,0.2023,31-05-2017,9621.25,9432.293799,70.45830540229692
2017-06-01,0.0972,01-06-2017,9616.099609,9446.94377455,70.78803927144168
2017-06-02,-0.31845,02-06-2017,9653.5,9463.9287843,68.35535752567631
2017-06-05,-0.4037,05-06-2017,9675.099609,9482.086254999998,68.65907122910349
2017-06-06,0.0,06-06-2017,9637.150391,9495.948755,67.0307669466251
2017-06-08,0.0,08-06-2017,9647.25,9514.046264749999,61.39533507800462
